fishID,half,prePost,largeMalePosition,fishName,round,treatment,transits,center,left_screen,left_side,plant,right_screen,right_side,latency_plant,latency_right_screen,latency_left_screen,trial_dur,center_prop,left screen_prop,left side_prop,plant_prop,right screen_prop,right side_prop,center_p,left screen_p,left side_p,plant_p,right screen_p,right side_p
fid12,p2,post,right,andrea,3,SS,18,16.015,18.522,47.346,202.816,3.472,11.379,1.247,164.609,6.851,299.55,0.053463529,0.061832749,0.158057086,0.677068937,0.011590719,0.03798698,0.053463529,0.061832749,0.158057086,0.677068937,0.011590719,0.03798698
fid12,p3,post,left,andrea,3,SS,19,5.874,257.992,18.047,17.352,0,0,0.87,300,12.614,299.265,0.019628089,0.862085443,0.060304412,0.057982056,0,0,0.019628089,0.862085443,0.060304412,0.057982056,0,0
fid18,p1,post,none,anna,1,LL,40.5,9.9465,13.513,22.7035,6.0765,222.8405,23.5215,2.5915,21.2775,9.2655,298.6015,0.033310281,0.045254294,0.076032773,0.020349864,0.746280578,0.07877221,0.033310281,0.045254294,0.076032773,0.020349864,0.746280578,0.07877221
fid18,p1,pre,none,anna,1,LL,57,9.3,66.5455,32.817,0,162.067,26.9985,300,0.658,54.9925,297.728,0.031236565,0.223511057,0.110224769,0,0.544345846,0.090681763,0.031236565,0.223511057,0.110224769,0,0.544345846,0.090681763
fid18,p2,post,right,anna,1,LL,20.5,1.333,9.3415,4.173,2.27,269.9945,11.9835,254.27,0.681,241.22,299.0955,0.00445677,0.031232499,0.013952065,0.007589549,0.902703317,0.040065798,0.00445677,0.031232499,0.013952065,0.007589549,0.902703317,0.040065798
fid18,p2,pre,left,anna,1,LL,78,17.5345,49.4625,22.3075,0.803,177.8305,29.2075,227.6985,1.0095,126.9005,297.1455,0.059009812,0.166458856,0.07507265,0.00270238,0.598462706,0.098293597,0.059009812,0.166458856,0.07507265,0.00270238,0.598462706,0.098293597
fid18,p3,post,left,anna,1,LL,40,7.8735,16.012,12.681,1.0675,241.2055,20.896,198.545,0.263,92.0895,299.7355,0.02626816,0.053420432,0.042307301,0.003561473,0.804727835,0.069714799,0.02626816,0.053420432,0.042307301,0.003561473,0.804727835,0.069714799
fid18,p3,pre,right,anna,1,LL,90,25.494,59.788,38.9435,0,128.5955,46.396,300,4.1435,5.6165,299.217,0.085202378,0.19981485,0.130151362,0,0.429773375,0.155058035,0.085202378,0.19981485,0.130151362,0,0.429773375,0.155058035
fid24,p1,post,none,ariana,5,LS,29,5.167,5.1,50.61,51.47,169.894,17.692,32.113,48.262,63.814,299.933,0.017227181,0.017003798,0.168737685,0.171604992,0.566439838,0.058986507,0.017227181,0.017003798,0.168737685,0.171604992,0.566439838,0.058986507
fid24,p1,pre,none,ariana,5,LS,42,30.344,190.51,28.4285,25.6885,13.2505,10.9135,31.5155,78.632,61.1735,299.135,0.10143915,0.636869641,0.095035686,0.085875942,0.044296054,0.036483528,0.10143915,0.636869641,0.095035686,0.085875942,0.044296054,0.036483528
